,Title,Subtitle,Location,Date,Content,Link
221,Credit Suisse Group AG proposes new appointments to the Board of Directors,Ad hoc announcement pursuant to article 53 LR,Zurich,21.03.2022,"The Board of Directors (Board) is proposing Mirko Bianchi, Keyu Jin and Amanda (Mandy) Norton for election as non-executive members of the Board at the Annual General Meeting of Shareholders (AGM) to be held on April 29, 2022. Severin Schwan, Kai S. Nargolwala and Juan Colombas have informed the Board that they will not stand for re-election at the 2022 AGM. Christian Gellerstad will become Vice-Chair and Lead Independent Director. 
Severin Schwan, who joined the Board in 2014 and has acted as Vice-Chair and Lead Independent Director since 2017, has decided not to stand for re-election. Kai S. Nargolwala, who joined the Board in 2013 and has held the role of Chair of the Compensation Committee since 2017, and Juan Colombas, who joined recently, have also decided that they will not stand for re-election at the upcoming AGM. Christian Gellerstad, who joined the Board in 2019, will be appointed as Vice-Chair and Lead Independent Director as well as Chair of the Compensation Committee, taking over from Kai S. Nargolwala, subject to his re-election at the upcoming AGM. 
Axel P. Lehmann, Chairman of the Board of Directors, said: ""I would like to thank Severin, Kai and Juan for their respective invaluable contributions. Severin and Kai, in particular, deserve the highest recognition for having helped steer the company through some challenging periods with commitment, perseverance and dedication."" 
""At the same time, I am extremely pleased that Christian Gellerstad is prepared to accept the appointment of Vice-Chair and Lead Independent Director of the Board and Chair of the Compensation Committee, subject to his re-election at the upcoming AGM. Christian's profound business and financial industry expertise will help him oversee the strategic transformation of the bank, and in particular our growth ambitions for Wealth Management.""
The Board today further announced the nomination of Mirko Bianchi, Keyu Jin and Amanda (Mandy) Norton for election to the Board at the upcoming AGM. Subject to his election, the Board intends to appoint Mirko Bianchi as Chair of the Audit Committee. Mandy Norton would join the Board on July 1, 2022, subject to her election at the upcoming AGM. In addition, the Board intends to appoint the current Chair of the Audit Committee, Richard Meddings, as Chair of the Risk Committee, subject to his re-election at the upcoming AGM. He will succeed Axel Lehmann, who was appointed Chairman of the Board on January 16, 2022.
Mirko Bianchi was most recently at UniCredit, where he served in a number of finance roles such as group Chief Financial Officer for the bank in Milan. His most recent position at UniCredit was Chief Executive Officer of Wealth Management and Private Banking. Over 30 years, Mirko Bianchi has held senior rating and finance leadership roles in leading financial services companies across the globe such as UBS Group, Deutsche Bank and Moody's Investor Services. He has an MBA from Fordham University, New York, and an MSc in Chemical Engineering from ETH Zurich. Mirko Bianchi is a US and Swiss citizen. 
Keyu Jin is a professor of Economics at the London School of Economics, focusing on topics including global capital flows, international technology competition and China's growth model. She is a non-executive director of Richemont Group and Qingdao AInnovation venture. Keyu Jin was previously a visiting scholar at the International Monetary Fund, and she has taught at Yale University and UC Berkeley. She holds a BA, MA and PhD from Harvard University and is a Chinese citizen. 
Amanda (Mandy) Norton most recently served at Wells Fargo as group Chief Risk Officer. She brings with her over 30 years of experience in risk functions across financial services companies including various risk executive roles with JPMorgan Chase and Bank of America. Mandy Norton also served in senior roles at Ally Financial and Chase Manhattan Bank UK. She has a BSc in Mathematics and Statistics from the University of Bath. She is a US and British citizen. 
Axel Lehmann said: ""I am delighted that Mirko, Keyu and Mandy have been nominated to join our Board. Both Mirko and Mandy bring highly relevant banking, finance and risk experience, with careers spanning more than three decades in globally leading financial institutions. Keyu will further strengthen the Board's focus on the APAC growth region and position the Board closer to China's next generation and fintech development. I look forward to working with Christian as he takes on new responsibilities and with Mirko, Keyu and Mandy in their new roles as members of the Board.""
The appointments of Mirko Bianchi, Keyu Jin and Mandy Norton are subject to regulatory approval.
The Board intends to appoint the following individuals as Chairs of the Board of Directors' Committees subject to their election or re-election at the upcoming AGM: 
Chair of the Governance and Nomination Committee – Axel Lehmann 
Chair of the Audit Committee – Mirko Bianchi
Chair of the Compensation Committee – Christian Gellerstad
Chair of the Conduct and Financial Crime Control Committee – Clare Brady
Chair of the Risk Committee – Richard Meddings 
Chair of the Digital Transformation and Technology Committee – Blythe Masters
In light of Christian Gellerstad's appointment as Vice-Chair and Lead Independent Director of the Board of Credit Suisse Group AG, Peter Derendinger will continue to serve as Chairman of Credit Suisse (Schweiz) AG and Christian Gellerstad will remain a member of the Credit Suisse (Schweiz) AG Board. 
AGM proposals 
The further proposals to be put forth for shareholder vote at the 2022 AGM on April 29, 2022 will be published with the invitation and agenda for the 2022 AGM, which will be sent to shareholders and available on the Credit Suisse website approximately one month prior to the event at: www.credit-suisse.com/agm.",https://www.credit-suisse.com/articles/media-releases/2022/03/en/bod-changes.html
222,Credit Suisse celebrates the 25th year of the Asian Investment Conference as it explores the road ahead for the region over the next quarter century,"Celebrating its 25th anniversary, the Credit Suisse Asian Investment Conference (AIC) welcomes more than 3,000 attendees for a four-day conference commencing today. The attendees include over 2,000 representatives from the global investment community, who will connect virtually with senior executives from some 350 companies with a total market capitalization of over USD8 trillion, to explore what the next 25 years holds in store for the Asia Pacific (APAC) region.",Hong Kong,21.03.2022,"Themed “Metamorphosis 25”, the 2022 AIC will provide new insights into how the digitalization of everything from money to retail and a historic shift of capital towards sustainable investments will transform APAC over the next quarter century and beyond – and create opportunities for investors.
Helman Sitohang, CEO, Asia Pacific, Credit Suisse, said: “We are proud to celebrate the 25th anniversary of our Asian Investment Conference this year. For the past quarter century, the AIC has remained a firm resource for investors to better understand the driving forces behind Asia’s metamorphosis. Credit Suisse’s pivot to APAC is absolutely core to our strategy, and we will be with our valued clients every step of the way to help them find opportunities from the emerging trends shaping this vibrant region.""
The AIC debuted in Hong Kong amid the Asian Financial Crisis after 1997. Since then, APAC has become the powerhouse of global growth. The size of the region’s economy has nearly tripled over the past quarter of a century, up from USD 8.5 trillion in 1997 to over USD 35 trillion in 20211. China rose from the world’s seventh largest economy in 1997 to second today. ASEAN has overtaken the US to become China’s largest trading partner.
While APAC is at the forefront of global innovation and consumption, the region also leads when it comes to investments in renewable energy, with new technologies and a growing commitment to achieving net zero carbon emissions by mid-century promising to transform its economies, enterprises and markets. At the same time, APAC faces demographic shifts with an aging population and is among the most vulnerable to the effects of climate change. These forces are driving a metamorphosis with profound implications for investors everywhere.
Over the next four days, more than 90 speakers across 50 keynotes and panel sessions will deliver unique insights into how Asia’s metamorphosis will unfold and the risks and opportunities that lie ahead for the region’s economies.
The speakers at this year’s AIC are renowned thought leaders, government and business leaders, entrepreneurs, Nobel Prize laureates and academics covering a broad spectrum of topics – from the metaverse and sustainable infrastructure to macroeconomic developments such as inflation and monetary policy.
These inspirational and keynote speakers include:
Award-winning actor, author and activist Michael J. Fox, who will explain why there’s ‘no time like the future’ to channel our energies towards building a life of resilience and hope.
Tennis champion, philanthropist and Credit Suisse Global Brand Ambassador Roger Federer, sharing how he has maintained a competitive edge throughout his incredible career.
Dr Condoleezza Rice, US Secretary of State (2005-2009), providing her unique perspective on how the recent geopolitical developments may unfold and what role international capital will play in influencing the outcome.
Indra Nooyi, former Chairman & CEO of PepsiCo, speaking on how companies can embrace diversity to reach their full potential.
Sian Proctor, the first African American woman to pilot a spacecraft, who will share her inspirational journey to breaking down the barriers she faced and achieving impossible goals.
Professor Sir David King, former Chief Scientific Advisor, United Kingdom and Head of the Climate Crisis Advisory Group, offering a scientific perspective on the disruption to come in the battle against global warming.
James Bullard, President and CEO of the Federal Reserve Bank of Saint Louis, shedding light on the future of inflation and interest rates.
Justin Yifu Lin, Honorary Dean, National School of Development, Peking University, Councilor of the State Council and member of the Standing Committee, Chinese People’s Political Consultation Conference, assessing China’s comparative advantages over the next decade.
Nicolas Aguzin, CEO of Hong Kong Exchanges and Clearing, elaborating on the forces that will have the most influence over the next 25 years of investing in the region.
Mo Gawdat, author, Founder of One Billion Happy and former Chief Business Officer at Google X, covering how artificial intelligence will transform our world.
Eswar Prasad, Cornell University’s Senior Professor of Trade Policy, and Senior Fellow at the Brookings Institution, examining whether the future of money will be a new dawn or a nightmare.
Blythe Masters, Credit Suisse Board Member and CEO of Motive Capital, discussing how financial institutions are approaching the rise of digital assets.
This year’s AIC will also take a deep dive into the metaverse and digital assets, from gaming to hardware, with notable speakers including:
Alexis Ohanian, a pioneering founder and investor, who will explore the potential of Web 3.
Yat Siu, Chairman of Animoca brands, speaking about the future of gaming environments.
Jon Radoff, author, game designer, and CEO and Founder of Beamable, discussing how companies will build ‘meta-prises’ over the next 25 years.
Throughout the week, Credit Suisse’s leading research analysts will host media briefing sessions on a number of timely thematic and sectoral investment themes, namely:
Energy transition and China renewables, and what it means to transition to carbon neutrality.
Electric vehicles (EV) value chain, how cost inflation impacts the EV market;
All things digital, including the metaverse; and
Global and Asian equity investment strategy.
For more information about the AIC speakers, the agenda, interviews, coverage of the conference, and video highlights, please check out the AIC Website and Media Program.
Please note that selected keynote addresses and panels will be open to media representatives, who are required to reference the 25th Credit Suisse Asian Investment Conference when quoting any speaker at the AIC.",https://www.credit-suisse.com/articles/media-releases/2022/03/en/credit-suisse-celebrates-25th-year-of-asian-investment-conference.html
223,Credit Suisse Group appoints Rob Cox as Group Head Corporate Communications,Credit Suisse Group today announced the appointment of Rob Cox as Group Head of Corporate Communications.,Zurich,15.03.2022,"Rob Cox joins from Breakingviews, the international commentary arm of Reuters. He brings a wealth of experience from his nearly three decades as a leading international financial journalist and media entrepreneur, having helped found, build and oversee Breakingviews.
Commenting on the appointment, Thomas Gottstein, Chief Executive Officer, said: “I am delighted to welcome Rob to his new role. He brings profound knowledge, an impressive track record and global perspectives that will support the internal and external communications functions that are critical to the growth and success of our business in this crucial phase of our journey. Rob will play a key role in driving our new Group strategy across all channels, while helping engage with major stakeholders as we pursue our goal of becoming a more client-centric bank with risk management at its core.”
Rob Cox will take over from Christine Graeff, who was appointed Global Head of Human Resources from February 2022. He will report to Thomas Gottstein, joining the bank on April 12, 2022, in Zurich. Dominik von Arx, who is currently leading the function on an ad interim basis, will become Deputy Group Head of Corporate Communications.
Prior to joining Credit Suisse, Rob Cox was the global editor of Reuters Breakingviews, based in New York and Paris. In 2020, he moved to Zurich. He was a founding editor of Breakingviews, which was sold to Thomson Reuters in 2009. Previously he held various editorial roles at Bloomberg News in New York, Milan and London, and the American Banker in Chicago.
Rob Cox was a co-founder and director of Sandy Hook Promise, a non-profit established to help his hometown community of Newtown, Connecticut to heal and address the causes of gun violence after the 2012 elementary school shooting. His writing on business, finance and gun violence has won numerous professional accolades. Rob Cox holds a Master of Science from the Columbia University Graduate School of Journalism and received his BA from the University of Vermont.",https://www.credit-suisse.com/articles/media-releases/2022/03/en/csg-appoints-head-corp-comms.html
224,Credit Suisse (Schweiz) AG has published its Annual Report 2021,Ad hoc announcement pursuant to article 53 LR,Zurich,10.03.2022,"Credit Suisse (Schweiz) AG has published its Annual Report 2021. The document is available for download on our website:
Subsidiary financial reports - Credit Suisse (Schweiz) AG >",https://www.credit-suisse.com/articles/media-releases/2022/03/en/credit-suisse-ch-annual-report-2021.html
225,Credit Suisse publishes its 2021 Annual Report and Sustainability Report,Ad hoc announcement pursuant to article 53 LR,Zurich,10.03.2022,"Credit Suisse Group AG and Credit Suisse AG today published the 2021 annual reporting suite, comprising the Annual Report, including the Compensation Report, and the Sustainability Report.
2021 Annual Report and Sustainability Report
The 2021 Annual Report contains a detailed presentation of the Group’s structure, corporate governance, treasury and risk management framework, as well as the 2021 Compensation Report. Additionally, it includes a review of the Group’s operating and financial results accompanied by its audited financial statements for the year ending December 31, 2021.
The 2021 Sustainability Report shows how Credit Suisse’s commitments and ambitions are put into practice as we progress towards our defined sustainability goals and provides an overview of our principal activities and milestones during the year. The Sustainability Report includes progress made against disclosures that take into account both the Sustainability Accounting Standards Board (SASB) and the Task Force on Climate-related Financial Disclosures (TCFD). In addition, Credit Suisse, for the first time, incorporated a series of core “Stakeholder Capitalism Metrics” released by the International Business Council (IBC) of the World Economic Forum (WEF) in 2020.
All publications are available for download as of 06:45 CET today at https://www.credit-suisse.com/ar where hard copies can also be ordered free of charge.
The 2021 Annual Report on Form 20-F will be filed with the US Securities and Exchange Commission and will be available for download at: www.credit-suisse.com/sec.
2022 Annual General Meeting of Shareholders
The Credit Suisse Annual General Meeting (AGM) on April 29, 2022, will be held in a virtual format without the personal attendance of shareholders and will be broadcast live on the internet. Today’s published reports include information on topics subject to shareholder approval, including proposals on Board of Directors and Executive Board compensation and the proposed dividend for the financial year 2021. Further details will be published with the invitation and agenda for the 2022 AGM, which will be sent to shareholders and available on the Credit Suisse website approximately one month prior to the event at: www.credit-suisse.com/agm.",https://www.credit-suisse.com/articles/media-releases/2022/03/en/ar-2021.html
226,Credit Suisse Group update on Russia,Credit Suisse Group today published details on its business exposure in Russia as part of its Annual Report disclosures and outlined its stance with respect to the impact of Russia’s invasion of Ukraine.,Zurich,10.03.2022,"Credit Suisse stands united with the international community in supporting those impacted by this humanitarian crisis.
Thomas Gottstein, CEO of Credit Suisse Group, stated: “I speak for the whole Executive Board of Credit Suisse when saying we are deeply saddened by the Russian invasion of Ukraine. We condemn this invasion and the serious breaches of international law. The instability that these events are creating for societies and countries across the globe will have far-reaching consequences, and our thoughts go out to all those impacted. While we do not have a physical presence in Ukraine, we are committed to providing support to our colleagues and their families within the region. In addition, we have launched a bank-wide appeal in aid of select Red Cross organizations in which Credit Suisse will match the charitable contributions that our employees are making on a one-for-one basis.”
“In purely financial terms, we have reviewed our positions and believe that the bank’s exposure in relation to Russia is well-managed, with appropriate systems in place to address associated risks. The current environment means making difficult decisions and managing through challenging situations, but always with a clear sense of perspective and the desire to do the right thing. As a matter of principle and policy, Credit Suisse applies all sanctions, in particular those issued by the EU, the United States and by Switzerland.”
Our key exposures are as follows:
Russia net credit exposure was CHF 848 million as of December 31, 2021. This includes derivatives and financing exposures in the Investment Bank, trade finance exposures in the Swiss Universal Bank and Lombard and other loans in International Wealth Management. These net exposures have been reduced since the end of 2021.
Net assets held in our Russian subsidiaries, JSC “Bank Credit Suisse (Moscow)” and LLC “Credit Suisse Securities (Moscow)”, totaled CHF 195 million as of December 31, 2021.
Country credit risk exposures to Ukraine or to Belarus were not material as of December 31, 2021.
As of March 7, 2022, we had minimal total credit exposures towards specifically sanctioned individuals managed by our Wealth Management division.
Our market risk exposure to Russia as of March 9, 2022 is not significant. Credit Suisse is monitoring settlement risks related to certain open transactions with Russian banks and non-bank counterparties or Russian underlyings as market closures, the imposition of exchange controls, sanctions or other factors may limit our ability to settle existing transactions or realize collateral which may result in changes in our exposure. It is premature to estimate the potential impact of the war in Ukraine on the global economy and markets and on our clients’ risk appetite. However, in the short term, the resultant increase in trading and hedging business activity is expected to be offset by a reduction in capital market issuances due to the rise in volatility as well as by higher credit provisions.
In terms of our physical presence in Russia, Credit Suisse has an office in Moscow with approximately 125 colleagues working across Wealth Management and the Investment Bank, in both front office and corporate function roles. Their ongoing safety and security is a top priority; we monitor the situation daily and have planned for a number of potential scenarios.",https://www.credit-suisse.com/articles/media-releases/2022/03/en/csg-update-russia.html
227,"Credit Suisse Announces Coupon Payments and Expected Coupon Payments on Credit Suisse X-Links® Exchange Traded Notes (the ""ETNs"")","On March 4, 2022, Credit Suisse announced expected coupon payments for the following ETNs:",New York,04.03.2022,,https://www.credit-suisse.com/articles/media-releases/2022/03/en/credit-suisse-announces-coupon-payments-and-expected-coupon-payments-on-credit-suisse-x-links.html
228,Credit Suisse Group Statement,"In response to media reporting that Credit Suisse requested third parties to destroy documents linked to clients, Credit Suisse Group issued the following statement:",Zurich,03.03.2022,"""Credit Suisse’s entitlement to request non-participating investors to destroy documents relating to this transaction was, as is market practice, stipulated under the Non-Disclosure Agreement. Documents shared with investors did not contain any client names and/or asset identifiers by the blind pool nature of the transaction. They contained portfolio statistics and performance modelling related to the underlying balance sheet positions. No data, client-related or otherwise, has been erased within Credit Suisse and, for clarity, this is in no way linked to the recent implementation of additional sanctions – with which we are fully compliant.""
On March 2, 2022, an international financial news outlet published an article referencing a letter which ""asks investors to destroy documents linked to oligarch and tycoon yacht loans"". This letter relates to a November 2021 synthetic risk transfer transaction, previously reported by the same news outlet, in which engaged parties signed a Non-Disclosure Agreement (NDA).
Following the successful closure of the transaction, Credit Suisse requested non-participating investors to destroy documents relating to the matter, as stipulated in the NDA. Reminding parties to destroy confidential information is good housekeeping and good data hygiene. The transaction and the request to non-participating investors to destroy confidential data are entirely unrelated to the ongoing conflict in Eastern Europe.
No client data was made available to investors. No client data has been erased within Credit Suisse.",https://www.credit-suisse.com/articles/media-releases/2022/03/en/csg-statement-media.html
229,Credit Suisse trades more than USD 1 billion in derivatives linked to the Credit Suisse RavenPack Artificial Intelligence Index,"As of December 31, 2021, Credit Suisse has traded more than USD 1 billion in notional in derivatives linked to the Credit Suisse RavenPack Artificial Intelligence Index (Bloomberg ticker: CSRPAI5E Index).",New York,03.03.2022,"A result of a collaboration between Credit Suisse and RavenPack that first began over 4 years ago, the index leverages the power of big data analytics to make sector allocation decisions in a tradable and systematic way.
The index aims to gain exposure to sectors of the U.S. economy with stronger sentiment as determined by a news analytics algorithm developed by RavenPack, which uses Natural Language Processing (NLP) models to objectively analyze thousands of company news published by reputable sources across the globe in milliseconds.
The Index also implements a strategy that combines equities and fixed income, complemented by a daily risk control mechanism.
""By bringing together complementary expertise, Credit Suisse and RavenPack have provided an objective and quantitative approach to information gathering and we are proud of this collaborative success Not only has the index recorded a 6.7% annualized performance* since its launch in 2017, but it also has offered a window into the attractiveness of asset allocations systematically selected by sophisticated data-driven analysis"" says Mike Heraty, Head of Institutional Solutions at Credit Suisse.
""This milestone achievement by Credit Suisse illustrates how artificial intelligence has reshaped the landscape of equity investment: sentiment analysis now drives alpha discovery, and RavenPack data delivers the quality and depth of signals that enables it."" says Armando Gonzalez, President and CEO, RavenPack.
*Source: Credit Suisse. Bloomberg. Data collected from October 6, 2017 to December 31, 2021. Past performance (actual or simulated) is not an indicator of future performance.",https://www.credit-suisse.com/articles/media-releases/2022/03/en/credit-suisse-trades-more-than-usd-1-billion-in-derivatives-linked-to-the-credit-suisse-ravenpack-artificial-intelligence-index.html
230,Credit Suisse Group Statement,"In response to a consortium of media outlets publishing a series of articles, Credit Suisse Group issued the following statement:",Zurich,20.02.2022,"""Credit Suisse strongly rejects the allegations and insinuations about the bank’s purported business practices. The matters presented are predominantly historical, in some cases dating back as far as the 1940s, and the accounts of these matters are based on partial, inaccurate, or selective information taken out of context, resulting in tendentious interpretations of the bank's business conduct. While as a matter of law Credit Suisse cannot comment on potential client relationships, we can confirm that actions have been taken in line with applicable policies and regulatory requirements at the relevant times, and that related issues have already been addressed.
Following numerous inquiries by the consortium over the last three weeks, Credit Suisse has reviewed a large volume of accounts potentially associated with the matters raised. Approximately 90% of the reviewed accounts are today closed or were in the process of closure prior to receipt of the press inquiries, of which over 60% were closed before 2015. Of the remaining active accounts, we are comfortable that appropriate due diligence, reviews and other control related steps were taken in line with our current framework. We will continue to analyze the matters and take additional steps if necessary.
Credit Suisse notes that the consortium is referring to a large number of external sources including those previously known as well as an alleged leak in their reporting. We take this latter allegation very seriously and will continue with our investigations with an internal task force including specialist external experts. We have robust data protection and data leakage prevention controls in place to protect our clients.
As a leading global financial institution, Credit Suisse is deeply aware of its responsibility to clients and the financial system as a whole to ensure that the highest standards of conduct are upheld. These media allegations appear to be a concerted effort to discredit not only the bank but the Swiss financial market¬place as a whole, which has undergone significant changes over the last several years. In line with financial market reforms across the sector and in Switzerland, Credit Suisse has taken a series of significant additional measures over the last decade, including considerable further investments in combating financial crime. Across the bank, Credit Suisse continues to strengthen its compliance and control framework, and as we have made clear, our strategy puts risk management at the very core of our business.""",https://www.credit-suisse.com/articles/media-releases/2022/02/en/csg-statement-media.html
231,"Credit Suisse Announces Coupon Payments and Expected Coupon Payments on Credit Suisse X-Links® Exchange Traded Notes (the ""ETNs"")","On February 4, 2022, Credit Suisse announced expected coupon payments for the following ETNs:",New York,04.02.2022,,https://www.credit-suisse.com/articles/media-releases/2022/02/en/credit-suisse-announces-coupon-payments-and-expected-coupon-payments-on-credit-suisse-x-links.html
232,Credit Suisse Earns Recognition for Diversity and Inclusion from Human Rights Campaign Foundation and Bloomberg Gender-Equality Index,Credit Suisse today announced that it has been recognized for its deep commitment to diversity and inclusion by both the Human Rights Campaign Foundation and by the Bloomberg Gender-Equality Index.,New York,27.01.2022,"Credit Suisse takes great pride in being included for 17 consecutive years in the Human Rights Campaign Foundation's 2022 Corporate Equality Index (HRC CEI), with a score of 100% and earning the designation as a ""Best Place to Work for LGBTQ+ Equality."" HRC CEI is the nation's foremost benchmarking survey and report measuring corporate policies and practices related to LGBTQ+ workplace equality. Credit Suisse earned the maximum number of points in all categories including Workforce Protections, Inclusive Benefits, Supporting an Inclusive Culture & Corporate Social Responsibility, and Responsible Citizenship.
In addition, Credit Suisse has once again been included in the 2022 Bloomberg Gender-Equality Index (GEI) for the third year in a row. The GEI is a modified market capitalization-weighted index that aims to track the performance of public companies committed to transparency in gender-data reporting. This reference index measures gender equality across five pillars: female leadership & talent pipeline, equal pay & gender pay parity, inclusive culture, anti-sexual harassment policies, and pro-women brand. Those included on this year's index scored at or above a global threshold established by Bloomberg to reflect disclosure and the achievement or adoption of best-in-class statistics and policies.
Christine Graeff, Group Head Corporate Communications and Deputy Global Head of Human Resources at Credit Suisse said, ""I fundamentally believe in Credit Suisse's obligation and opportunity to be a fair and equitable employer – one that continues to attract, retain and reward highly-talented people across the globe. Our colleagues bring a diversity of perspective and approach, experience and expertise that allow the Bank to innovate and lead for our clients and society more broadly.""
""Our Employer Value Proposition needs to enable a truly diverse and inclusive workforce, underpinned by our systems, processes and the way in which every employee lives our cultural values. We still have work to do and our D&I commitments are a core element of the strategy that will take our Bank forward on a new and positive trajectory,"" Ms. Graeff added.
""Central to our inclusion strategy is ensuring every one of our people feels they belong and are valued – the employee experience is key,"" said Della Sabessar, Global Head of Diversity & Inclusion at Credit Suisse. ""Part of sustaining that culture is ensuring we have the right policies and practices in place to confront any barriers, remove them and create a path to opportunity. This is why the CEI and GEI continue to be important measures of our success. Each year, as they evolve and raise the bar of what companies must achieve to be included in their benchmarks, we are challenged to be better – not just for our women and LGBTQ+ colleagues, but for everyone at Credit Suisse.""",https://www.credit-suisse.com/articles/media-releases/2022/01/en/credit-suisse-earns-recognition-for-diversity-and-inclusion.html
233,Credit Suisse Group Trading Update,Ad hoc announcement pursuant to article 53 LR,Zurich,25.01.2022,"Credit Suisse Group (Group) today announced that the reported profits for the fourth quarter 2021 will be negatively impacted by litigation provisions of approximately CHF 500 million, partly offset by gains on real estate sales of CHF 225 million. These litigation provisions have been incurred in respect of a number of cases where the Group has more proactively pursued settlements and primarily relate to legacy litigation matters from our investment banking business. Before deduction of the already announced approximately CHF 1.6 billion goodwill impairment for the Group, of which approximately CHF 1.5 billion in the Investment Bank division and approximately CHF 0.1 billion in the Asia Pacific division, this is expected to result in a reported pre-tax income/(loss) for the Group of approximately breakeven for the fourth quarter 2021.
With regard to our underlying business results, as we indicated in our announcement of November 4, 2021, we have seen a reduction in transaction-based revenues in the Investment Bank and our wealth management businesses. This reflects the usual seasonal slowdown but, in addition, business activity reflects the reversion to more normal trading conditions after the exceptional environment that prevailed for most of 2020 and 2021. Combined with the reduction in our overall risk appetite, including our decision to substantially exit our prime services business, this has resulted in a loss for the fourth quarter 2021 in the Investment Bank division (before the goodwill impairment). In our wealth management businesses, there has been a significant slowdown in transaction activity in the International Wealth Management and Asia Pacific divisions, with the latter also reflecting client de-leveraging mainly due to the adverse market conditions in Asia. As a consequence, fourth-quarter 2021 net new assets for our wealth management businesses will be modestly negative, albeit more than offset by inflows in our Asset Management business.
With regard to our capital position, our year-end 2021 Group CET1 ratio is expected to exceed our ambition of 14%, while our year-end 2021 Tier 1 leverage ratio is expected to exceed 6%.
The financial results are still subject to detailed finalization and review. We will provide a full update on our fourth-quarter and full-year 2021 financial performance at our results announcement on Thursday, February 10, 2022.",https://www.credit-suisse.com/articles/media-releases/2022/01/en/csg-trading-update.html
234,Credit Suisse Group appoints Axel P. Lehmann as new Chairman; António Horta-Osório has resigned,Ad hoc announcement pursuant to article 53 LR,Zurich,17.01.2022,"Credit Suisse Group today announced that the Board of Directors (Board) has appointed Axel P. Lehmann as the bank’s new Chairman effective immediately. He succeeds António Horta-Osório, who resigned following an investigation commissioned by the Board. Under the leadership of Axel Lehmann, the Board and the Executive Board will continue to execute Credit Suisse’s strategy, driving forward the transformation of the bank.
  Mr. Horta-Osório said: “I have worked hard to return Credit Suisse to a successful course, and I am proud of what we have achieved together in my short time at the bank. Credit Suisse’s strategic realignment will provide for a clear focus on strengthening, simplifying and investing for growth. I am convinced that Credit Suisse is well positioned today and on the right track for the future. I regret that a number of my personal actions have led to difficulties for the bank and compromised my ability to represent the bank internally and externally. I therefore believe that my resignation is in the interest of the bank and its stakeholders at this crucial time. I wish my colleagues at Credit Suisse every success for the future.”
Severin Schwan, Vice-Chairman and Lead Independent Director of the Board of Credit Suisse, said: “We respect António’s decision and owe him considerable thanks for his leadership in defining the new strategy, which we will continue to implement over the coming months and years. Axel Lehmann as the new Chairman, with his extensive international and Swiss industry experience, is ideally suited to drive forward the strategic and cultural transformation of the bank. We wish Axel every success in his new role and António all the best for the future.”
Axel Lehmann in office as new Chairman
Following his appointment by the Board, Axel Lehmann has taken office as Chairman. The Board will also propose him for election as Chairman at the upcoming Annual General Meeting on April 29, 2022.
Axel Lehmann, Chairman of Credit Suisse, said: “I would like to thank the Board for the trust it has placed in me and look forward to working even more closely with the Board and the Executive Board. We have set the right course with the new strategy and will continue to embed a stronger risk culture across the firm. By executing our strategic plan in a timely and disciplined manner, without distraction, I am convinced that Credit Suisse will demonstrate the renewed strength and business focus needed to generate sustainable value for all of our stakeholders.”
Axel Lehmann was elected as a member of the Board of Directors of Credit Suisse Group by the Extraordinary General Meeting held on October 1, 2021 and also became the Chair of the Risk Committee. He was formerly a member of the Group Executive Board of UBS Group, initially as Group Chief Operating Officer and then as President Personal & Corporate Banking and President UBS Switzerland. Between 2009 and 2015, Mr. Lehmann served as a non-executive director and a member of the Risk Committee of UBS Group and was a member of the Governance and Nominating Committee from 2011 to 2013.
His career at Zurich Insurance Group spanned almost 20 years, nearly 14 of which were as a member of the Group Executive Committee in various roles. These include responsibility for the insurer’s European and North America business, group IT and as Chief Risk Officer.
Mr. Lehmann currently holds mandates at several academic and non-profit institutions, including serving as an adjunct professor at the University of St. Gallen. He holds a PhD in Business Administration from the University of St. Gallen and is a graduate of the Advanced Management Program of the Wharton School, University of Pennsylvania, USA. Mr. Lehmann is a Swiss citizen.",https://www.credit-suisse.com/articles/media-releases/2022/01/en/csg-bod-changes.html
235,"Credit Suisse Announces Coupon Amount on its Credit Suisse S&P MLP Index ETN (ticker symbol ""MLPO"").","On January 3, 2022, Credit Suisse declared a Coupon Amount for the Credit Suisse S&P MLP Index ETN (the ""ETN"").",New York,06.01.2022,,https://www.credit-suisse.com/articles/media-releases/2022/01/en/credit-suisse-announces-coupon-amount-on-its-credit-suisse-s-p-mlp-index-etn.html
236,"Credit Suisse Announces Coupon Payments and Expected Coupon Payments on Credit Suisse X-Links® Exchange Traded Notes (the ""ETNs"")","On January 6, 2022, Credit Suisse announced expected coupon payments for the following ETNs:",New York,06.01.2022,,https://www.credit-suisse.com/articles/media-releases/2022/01/en/credit-suisse-announces-coupon-payments-and-expected-coupon-payments-on-credit-suisse-x-links.html
237,Credit Suisse Group AG announces completion of its 2021 share buyback program,,Zurich,03.01.2022,"On December 30, 2021, Credit Suisse Group AG (Credit Suisse) completed its 2021 share buyback program (Share Repurchase Program) which commenced on January 12, 2021 and was suspended in the first quarter of 2021.
Under the Share Repurchase Program, Credit Suisse has repurchased 25,087,000 of its shares on a second trading line on the SIX Swiss Exchange for a total of CHF 305,193,092 at an average purchase price per share of CHF 12.165.
Detailed information on the share buyback can be found in the buyback notices that are available on the Share capital & statistics webpage. ",https://www.credit-suisse.com/articles/media-releases/2022/01/en/share-repurchase-program-completion.html
